,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_title,popularity_scores,genre,given-genre
0,0.817,0.509,0,-4.17,1,0.0839,0.146,2.53e-05,0.111,0.77,99.988,3XEdqQtGHAM5huMrs3RaKN,183930,4,Acid Dreams,55,dance pop,pop
1,0.724,0.846,9,-3.785,0,0.0538,0.109,0.0,0.0958,0.64,129.959,2tVkFxyePqB0o4Y4SYKV0Q,187251,4,Breath,47,k-pop,k-pop
2,0.749,0.535,4,-6.785,1,0.0336,0.0131,3.65e-05,0.0982,0.601,123.042,0ClPIeT6MSgfSgQ9ZrJbAq,196607,4,Cheating on You,77,dance pop,pop
3,0.774,0.959,1,-2.907,1,0.183,0.113,0.0,0.0902,0.86,114.989,5UCTT2liT61iPL2cCV9Gto,210535,4,CHERRY,43,k-pop,k-pop
4,0.961,0.739,9,-6.665,1,0.224,0.0794,0.0,0.0372,0.759,119.96,34JfHOd0fcefm4FSPSrIhF,150053,4,Cold Blooded,65,k-pop,k-pop
5,0.762,0.704,8,-3.205,1,0.0509,0.174,0.0,0.157,0.827,100.055,32qLwcEpoKeutWxwrJM4FX,196793,4,COVID-19 (feat. SUPERBEE),41,korean pop,pop
6,0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978,7n2FZQsaLb7ZRfRPfEeIvr,178453,4,ELEVEN,78,k-pop girl group,k-pop
7,0.6,0.713,6,-5.079,0,0.0592,0.0642,0.0,0.142,0.471,72.999,0UzymivvUH5s8z4PeWZJaK,172107,4,FEVER,76,anime,anime
10,0.736,0.764,8,-6.736,0,0.0482,0.222,0.00154,0.192,0.404,112.033,64rqvMhAPLLEag310IG3z9,306429,4,Greek Tragedy - Oliver Nelson TikTok Remix,67,liverpool indie,indie
11,0.722,0.851,10,-2.589,1,0.264,0.35,0.0,0.0661,0.763,122.012,3QD0Y1tTngihByjdWC99lG,164053,4,Killing Me,62,k-pop,k-pop
13,0.764,0.785,4,-3.528,1,0.033,0.0303,0.0,0.315,0.974,113.019,4jjI9eHfSHtsmacfjeZvhc,161351,4,LazyBaby,1,pop,pop
15,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,7hU3IHwjX150XLoTVmjD0q,168228,4,MONEY,78,k-pop,k-pop
16,0.762,0.791,2,-5.267,1,0.102,0.015,2.49e-06,0.312,0.393,120.015,72rUKYfdSaMVhgUhajRvrX,174107,4,New Rules,59,k-pop,k-pop
17,0.554,0.964,4,-3.054,0,0.134,0.00216,0.0,0.109,0.897,161.013,3yBeQAxk5Jb6bzvUpqu5qX,173627,4,Paradise,57,japanese pop rap,pop
17,0.554,0.964,4,-3.054,0,0.134,0.00216,0.0,0.109,0.897,161.013,3yBeQAxk5Jb6bzvUpqu5qX,173627,4,Paradise,57,japanese pop rap,rap
18,0.857,0.861,10,-3.676,0,0.0467,0.0977,0.0,0.312,0.946,118.966,2citvEGmOgIoGl6Jend3cU,186747,4,Show Me,42,k-pop,k-pop
20,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,5PjdY0CKGZdEuoNab3yDmX,141806,4,STAY (with Justin Bieber),85,australian hip hop,hip hop
21,0.821,0.503,10,-8.587,1,0.0875,0.108,0.0,0.3,0.545,125.012,4Wyl7ATLLSQa5p90ouexSa,173250,4,Talking To Myself,42,la pop,pop
22,0.645,0.877,5,-3.208,0,0.113,0.294,0.0,0.0759,0.861,82.324,06EL94D0TA27Ik0Ke5usbj,227027,4,The Way,68,dance pop,pop
24,0.66,0.488,6,-8.188,1,0.025,0.172,0.0,0.065,0.543,100.024,4XQnhcwRPRmGG4E6PakLMb,195573,4,Wings,60,k-indie,indie
28,0.591,0.665,6,-6.525,0,0.153,0.14,0.00103,0.382,0.694,118.195,154Jycdld9dX9rBLE6L3v4,216959,4,寄り酔い,55,japanese teen pop,pop
30,0.554,0.776,0,-7.607,1,0.0722,0.634,0.00277,0.115,0.324,169.052,2M4iGyQTIJISEioeVz43vy,218497,4,Nothing Revealed / Everything Denied,53,modern alternative rock,alternative
30,0.554,0.776,0,-7.607,1,0.0722,0.634,0.00277,0.115,0.324,169.052,2M4iGyQTIJISEioeVz43vy,218497,4,Nothing Revealed / Everything Denied,53,modern alternative rock,rock
31,0.639,0.704,7,-5.818,1,0.0659,0.22,0.0872,0.0849,0.645,162.983,1eNrlXlW7Cj1QB1YUcZmpb,176467,4,Campus,63,baroque pop,pop
33,0.785,0.907,10,-2.657,1,0.0938,0.00122,3.11e-06,0.213,0.685,126.004,4gdiCHNbwugojBqr5Jt3pq,183693,4,WA DA DA,71,k-pop,k-pop
35,0.784,0.521,1,-5.701,1,0.0322,0.062,4.75e-06,0.0995,0.817,101.491,5q3LwAHTqo9d3rET2EA9Nq,167662,4,The Weekend,69,asian american hip hop,hip hop
36,0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,5elW2CKSoqjYoJ32AGDxf1,184602,4,Polaroid Love,77,anime,anime
37,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,59CfNbkERJ3NoTXDvoURjj,153000,3,Boyfriend,84,pop,pop
38,0.628,0.676,6,-4.227,1,0.0424,0.393,6.94e-05,0.0978,0.723,78.996,68HocO7fx9z0MgDU0ZPHro,215687,4,Every Summertime,78,indonesian r&b,r&b
39,0.674,0.727,0,-9.38,1,0.0469,0.0128,0.0135,0.282,0.652,119.994,169YBmYRX0JNR3o4CJVWXY,183531,4,U - English Version,61,japanese electropop,pop
41,0.688,0.831,0,-2.857,1,0.0962,0.0697,0.0,0.13,0.707,126.118,3FNuG1PjKcOu7tAqZKB4kZ,219933,4,BOP BOP!,60,k-pop,k-pop
43,0.622,0.835,4,-5.308,1,0.0532,0.129,0.0,0.371,0.606,126.043,6JikuKcWFuPPC4MyKfvkHQ,228587,4,Desperate Measures,52,canadian rock,rock
44,0.586,0.871,3,-2.792,0,0.0417,0.00213,7.02e-06,0.264,0.839,158.179,4TMVuENexY9u0083CqMphE,187680,4,WAITING,55,k-pop,k-pop
45,0.781,0.593,7,-7.65,0,0.18,0.42,0.0,0.317,0.926,110.033,2RyUmXSGz9CinAwnM2gDjd,204334,4,Ain't About You (feat. Kiiara),48,k-pop,k-pop
46,0.723,0.725,6,-3.815,1,0.0551,0.23,0.0,0.0683,0.731,125.048,6PFfx4sEBWPuFqFB0mgX1D,189933,4,GLASSY,59,k-pop,k-pop
